Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
2555.8,7.249e-11,,,,,1.408e-26,,,7.249e-11
2557.7,3.002e-11,,,,,5.226e-26,,,3.002e-11
2559.6,1.152e-11,,,,,1.807e-25,,,1.152e-11
2561.5,4.098e-12,,,,,5.816e-25,,,4.098e-12
2563.5,1.272e-12,,,,,1.844e-24,,,1.272e-12
2565.4,3.871e-13,,,,,5.131e-24,,,3.871e-13
2567.3,1.092e-13,,,,,1.331e-23,,,1.092e-13
2569.2,2.855e-14,,,,,3.216e-23,,,2.855e-14
2571.2,6.408e-15,,,,,7.551e-23,,,6.408e-15
2573.1,1.434e-15,,,,,1.582e-22,,,1.434e-15
2575,2.972e-16,,,,,3.091e-22,,,2.972e-16
2576.9,5.712e-17,,,,,5.639e-22,,,5.712e-17
2578.8,1.018e-17,,,,,9.608e-22,,,1.018e-17
2580.8,1.561e-18,,,,,1.564e-21,,,1.560e-18
2582.7,4.668e-19,,,,,2.319e-21,,,4.645e-19
2584.6,1.466e-18,,,,,3.216e-21,,,1.462e-18
2586.5,8.213e-18,,,,,4.171e-21,,,8.209e-18
2588.5,4.785e-17,,,,,5.106e-21,,,4.785e-17
2590.4,2.377e-16,,,,,5.784e-21,,,2.377e-16
2592.3,1.101e-15,,,,,6.136e-21,,,1.101e-15
2594.2,4.750e-15,,,,,6.098e-21,,,4.750e-15
2596.2,2.052e-14,,,,,5.647e-21,,,2.052e-14
2598.1,7.664e-14,,,,,4.912e-21,,,7.664e-14
2600,2.668e-13,,,,,4.007e-21,,,2.668e-13
2601.9,8.660e-13,,,,,3.066e-21,,,8.660e-13
2603.8,2.619e-12,,,,,2.204e-21,,,2.619e-12
2605.8,7.784e-12,,,,,1.459e-21,,,7.784e-12
2607.7,2.038e-11,,,,,9.329e-22,,,2.038e-11
2609.6,4.973e-11,,,,,5.706e-22,,,4.973e-11
2611.5,1.131e-10,,,,,3.398e-22,,,1.131e-10
2613.5,2.490e-10,,,,,1.971e-22,,,2.490e-10
2615.4,4.902e-10,,,,,1.215e-22,,,4.902e-10
2617.3,8.996e-10,,,,,7.900e-23,,,8.996e-10
2619.2,1.539e-9,,,,,5.396e-23,,,1.539e-9
2621.2,2.509e-9,,,,,3.705e-23,,,2.509e-9
2623.1,3.715e-9,,,,,2.577e-23,,,3.715e-9
2625,5.126e-9,,,,,1.747e-23,,,5.126e-9
2626.9,6.594e-9,,,,,1.151e-23,,,6.594e-9
2628.8,7.905e-9,,,,,7.512e-24,,,7.905e-9
2630.8,8.869e-9,,,,,5.006e-24,,,8.869e-9
2632.7,9.204e-9,,,,,3.823e-24,,,9.204e-9
2634.6,8.905e-9,,,,,3.399e-24,,,8.905e-9
2636.5,8.033e-9,,,,,3.379e-24,,,8.033e-9
2638.5,6.689e-9,,,,,3.493e-24,,,6.689e-9
2640.4,5.245e-9,,,,,3.532e-24,,,5.245e-9
2642.3,3.868e-9,,,,,3.406e-24,,,3.868e-9
2644.2,2.721e-9,,,,,3.102e-24,,,2.721e-9
2646.2,1.862e-9,,,,,2.652e-24,,,1.862e-9
2648.1,1.393e-9,,,,,2.229e-24,,,1.393e-9
2650,1.227e-9,,,,,2.020e-24,,,1.227e-9
2651.9,1.300e-9,,,,,2.401e-24,,,1.300e-9
2653.8,1.537e-9,,,,,4.102e-24,,,1.537e-9
2655.8,1.880e-9,,,,,8.884e-24,,,1.880e-9
2657.7,2.234e-9,,,,,1.899e-23,,,2.234e-9
2659.6,2.581e-9,,,,,3.889e-23,,,2.581e-9
2661.5,2.938e-9,,,,,7.491e-23,,,2.938e-9
2663.5,3.391e-9,,,,,1.391e-22,,,3.391e-9
2665.4,4.000e-9,,,,,2.336e-22,,,4.000e-9
2667.3,4.886e-9,,,,,3.667e-22,,,4.886e-9
2669.2,6.105e-9,,,,,5.378e-22,,,6.105e-9
2671.2,7.704e-9,,1.114e-29,,,7.479e-22,,,7.704e-9
2673.1,9.358e-9,,9.364e-29,,,9.544e-22,,,9.358e-9
2675,1.089e-8,,7.374e-28,,,1.138e-21,,,1.089e-8
2676.9,1.199e-8,,5.440e-27,,,1.268e-21,,,1.199e-8
2678.8,1.244e-8,,3.760e-26,,,1.320e-21,,,1.244e-8
2680.8,1.206e-8,,2.681e-25,,,1.280e-21,,,1.206e-8
2682.7,1.094e-8,,1.620e-24,,,1.159e-21,,,1.094e-8
2684.6,9.288e-9,,9.174e-24,,,9.811e-22,,,9.288e-9
2686.5,7.370e-9,,4.866e-23,,,7.759e-22,,,7.370e-9
2688.5,5.370e-9,,2.626e-22,,,5.633e-22,,,5.370e-9
2690.4,3.708e-9,,1.218e-21,,,3.876e-22,,,3.708e-9
2692.3,2.393e-9,,5.295e-21,,,2.492e-22,,,2.393e-9
2694.2,1.444e-9,,2.156e-20,,,1.497e-22,,,1.444e-9
2696.2,7.927e-10,,8.806e-20,,,8.139e-23,,,7.927e-10
2698.1,4.293e-10,,3.136e-19,,,4.255e-23,,,4.293e-10
2700,2.445e-10,1.211e-16,1.046e-18,,,2.078e-23,,,2.445e-10
2701.9,1.921e-10,1.028e-15,3.268e-18,,,9.487e-24,,,1.921e-10
2703.8,2.583e-10,8.191e-15,9.568e-18,,,4.046e-24,,,2.583e-10
2705.8,4.815e-10,6.794e-14,2.762e-17,,,1.534e-24,,,4.814e-10
2707.7,9.011e-10,4.748e-13,7.071e-17,,,5.694e-25,,,9.007e-10
2709.6,1.613e-9,3.113e-12,1.696e-16,,,1.976e-25,,,1.610e-9
2711.5,2.726e-9,1.915e-11,3.810e-16,,,6.415e-26,,,2.707e-9
2713.5,4.481e-9,1.210e-10,8.326e-16,,,1.834e-26,,,4.360e-9
2715.4,7.065e-9,6.526e-10,1.636e-15,,,5.294e-27,,,6.412e-9
2717.3,1.213e-8,3.303e-9,3.012e-15,,,1.525e-27,,,8.830e-9
2719.2,2.707e-8,1.568e-8,5.194e-15,,,5.158e-28,,,1.139e-8
2721.2,8.932e-8,7.545e-8,8.589e-15,,,2.706e-28,,,1.387e-8
2723.1,3.299e-7,3.142e-7,1.295e-14,,,2.374e-28,,,1.564e-8
2725,1.244e-6,1.228e-6,1.830e-14,,,2.523e-28,,,1.653e-8
2726.9,4.517e-6,4.501e-6,2.423e-14,,,2.796e-28,,,1.639e-8
2728.8,1.549e-5,1.548e-5,3.004e-14,,,3.103e-28,,,1.527e-8
2730.8,5.303e-5,5.301e-5,3.511e-14,,,3.444e-28,,,1.329e-8
2732.7,1.599e-4,1.599e-4,3.807e-14,,,3.804e-28,,,1.102e-8
2734.6,4.525e-4,4.525e-4,3.868e-14,,,4.253e-28,,,8.741e-9
2736.5,1.201e-3,1.201e-3,3.681e-14,,,4.908e-28,,,6.745e-9
2738.5,3.134e-3,3.134e-3,3.256e-14,,,6.133e-28,,,5.111e-9
2740.4,7.297e-3,7.297e-3,2.710e-14,,,8.527e-28,,,4.017e-9
2742.3,1.594e-2,1.594e-2,2.113e-14,,,1.378e-27,,,3.285e-9
2744.2,3.267e-2,3.267e-2,1.544e-14,,,2.563e-27,,,2.789e-9
2746.2,6.489e-2,6.489e-2,1.034e-14,,,5.447e-27,,,2.390e-9
2748.1,1.167e-1,1.167e-1,6.604e-15,,,1.167e-26,,,2.044e-9
2750,1.967e-1,1.967e-1,3.952e-15,,,2.531e-26,,,1.693e-9
2751.9,3.113e-1,3.113e-1,2.216e-15,,,5.449e-26,,,1.339e-9
2753.8,4.620e-1,4.620e-1,1.164e-15,,,1.150e-25,,,1.003e-9
2755.8,6.534e-1,6.534e-1,5.507e-16,,,2.443e-25,,,6.940e-10
2757.7,8.507e-1,8.507e-1,2.530e-16,,,4.809e-25,,,4.588e-10
2759.6,1.039e+0,1.039e+0,1.089e-16,,,9.058e-25,,,2.847e-10
2761.5,1.191e+0,1.191e+0,4.388e-17,,,1.626e-24,,,1.657e-10
2763.5,1.282e+0,1.282e+0,1.572e-17,,,2.847e-24,,,8.743e-11
2765.4,1.289e+0,1.289e+0,5.541e-18,,,4.592e-24,,,4.458e-11
2767.3,1.215e+0,1.215e+0,1.830e-18,,,7.019e-24,,,2.130e-11
2769.2,1.075e+0,1.075e+0,5.663e-19,,,1.017e-23,,,9.542e-12
2771.2,8.817e-1,8.817e-1,1.535e-19,,,1.419e-23,,,3.821e-12
2773.1,6.841e-1,6.841e-1,4.154e-20,,,1.847e-23,,,1.498e-12
2775,4.980e-1,4.980e-1,1.053e-20,,,2.287e-23,,,5.507e-13
2776.9,3.400e-1,3.400e-1,2.501e-21,,,2.698e-23,,,1.897e-13
2778.8,2.178e-1,2.178e-1,5.564e-22,,,3.036e-23,,,6.127e-14
2780.8,1.272e-1,1.272e-1,1.066e-22,,,3.274e-23,,,1.738e-14
2782.7,7.149e-2,7.149e-2,2.074e-23,,,3.359e-23,,,4.913e-15
2784.6,3.769e-2,3.769e-2,3.780e-24,,,3.298e-23,,,1.302e-15
2786.5,1.864e-2,1.864e-2,6.455e-25,,,3.098e-23,,,3.233e-16
2788.5,8.292e-3,8.292e-3,9.359e-26,,,2.762e-23,,,6.956e-17
2790.4,3.603e-3,3.603e-3,1.398e-26,,,2.362e-23,,,1.512e-17
2792.3,1.486e-3,1.486e-3,1.955e-27,,9.868e-24,1.925e-23,,,3.082e-18
2794.2,6.307e-4,6.307e-4,2.563e-28,,7.768e-23,1.493e-23,,,5.886e-19
